"County Name","District Name","School Name",middle_school_sum
Middlesex,"Woodbridge Township School District","Robert Mascenik Elementary School",65
Middlesex,"Woodbridge Township School District","Oak Tree Road Elementary School",64
Middlesex,"Woodbridge Township School District","Indiana Avenue Elementary School",64
Middlesex,"Woodbridge Township School District","Lynn Crest Elementary School",57
Middlesex,"Woodbridge Township School District","Woodbine Avenue Elementary School",57
Middlesex,"Woodbridge Township School District","Menlo Park Terrace Elementary School",56
Middlesex,"Woodbridge Township School District","Claremont Avenue Elementary School",50
Middlesex,"Woodbridge Township School District","Oak Ridge Heights Elementary School",48
Middlesex,"Woodbridge Township School District","Mawbey Street Elementary School",47
Middlesex,"Woodbridge Township School District","Pennsylvania Avenue Elementary School",44
